# Every C-compatible layout, with the evidence that fixes it.
# Generated by `./res/check/layouts.janet`; do not edit.
#
# `abi`   the type, or a pointer to it, is in a `callconv(.c)` signature
# `field` it is a by-value field of another `extern` layout
# `repr`  something reads its representation -- `@sizeOf`, `@offsetOf`,
#         `@bitCast`, `@ptrCast`, `std.mem.zeroes`, a `memcpy`
# `host`  its file translates a header, or a platform defines the name
#
# A row with no evidence is migration residue: `extern` because the C
# implementation's was.  **The compiler checks only `abi` and `field`** --
# stripping `extern` from all of them builds once those are restored, and
# the binary then aborts in the bootstrap.  See this tool's header.
#
# layouts  72
# residue  5
#
# columns: class  name  file:line  evidence

fixed    Aapcs64ReturnGeneral         runtime/ffi/call.zig:149           abi,host
fixed    Aapcs64ReturnPointer         runtime/ffi/call.zig:153           abi,host,repr
fixed    Aapcs64ReturnSse             runtime/ffi/call.zig:155           abi,host
fixed    AbstractHead                 api/abi.zig:98                     repr
residue  AbstractNative               runtime/ffi.zig:40                 
fixed    AssembleResult               runtime/bytecode.zig:196           abi
fixed    Binding                      runtime/registry.zig:70            abi
fixed    BuildConfig                  api/abi.zig:194                    abi
fixed    ByteView                     api/abi.zig:218                    abi,field
fixed    CMethod                      runtime/method_type.zig:58         abi,field,repr
fixed    Chunk                        api/abi.zig:232                    abi,field
fixed    Dictionary                   api/abi.zig:283                    abi,field
fixed    FILETIME                     host/cabi.zig:100                  host
fixed    Fiber                        runtime/value/fibers.zig:132       abi,field
residue  FramePc                      runtime/vm/state.zig:98            
fixed    FuncEnvRef                   runtime/value/functions.zig:216    abi,repr
fixed    Function                     runtime/value/functions.zig:228    field,repr
fixed    GCData                       api/abi.zig:333                    abi,field,repr
fixed    GCObject                     api/abi.zig:358                    abi,field,repr
fixed    GenericMessage               runtime/ev.zig:178                 abi,field,repr
fixed    Head                         runtime/value/maps.zig:267         repr
fixed    Head                         runtime/value/vectors.zig:161      repr
fixed    ITimerSpec                   host/cabi.zig:107                  abi,host
fixed    Indexed                      api/abi.zig:374                    abi,field
residue  Inner                        runtime/value/vectors.zig:170      
fixed    JittedFn                     runtime/ffi/call.zig:198           host,repr
fixed    Keyval                       api/abi.zig:389                    abi,field,repr
residue  Layout                       runtime/ffi/types.zig:154          
fixed    Leaf                         runtime/value/vectors.zig:190      field,repr
fixed    Mapping                      runtime/ffi/types.zig:203          field
fixed    Method                       module.zig:468                     repr
fixed    Nanbox32Payload              api/repr.zig:155                   field,repr
fixed    Nanbox32Tagged               api/repr.zig:161                   field
fixed    Node                         runtime/value/maps.zig:277         field,repr
fixed    OVERLAPPED                   host/cabi.zig:115                  field,host
fixed    OVERLAPPED                   runtime/filewatch/abi.zig:71       field,host
fixed    OVERLAPPED                   runtime/net.zig:214                field,host
fixed    OptValue                     runtime/net.zig:225                host
fixed    Overlapped                   runtime/ev/stream.zig:165          field,host,repr
fixed    Overlapped                   runtime/filewatch/abi.zig:82       field,host,repr
fixed    Overlapped                   runtime/net.zig:233                field,host,repr
fixed    OverlappedWatch              runtime/filewatch.zig:722          host,repr
fixed    Range                        api/abi.zig:424                    abi,field
fixed    Reg                          api/abi.zig:435                    abi,field
fixed    Runtime                      api/interface.zig:190              abi
fixed    ScratchBlock                 runtime/gc.zig:215                 repr
fixed    SecurityAttributes           host/cabi.zig:124                  host
fixed    SelfPipeEvent                runtime/ev.zig:316                 repr
residue  Signature                    runtime/ffi/types.zig:272          
fixed    SignedHead                   runtime/value/strings.zig:828      repr
fixed    SignedHead                   runtime/value/tuples.zig:325       repr
fixed    State                        runtime/filewatch.zig:441          host,repr
fixed    Stream                       runtime/ev/stream.zig:209          field,repr
fixed    StringHead                   runtime/value/strings.zig:186      repr
fixed    Struct                       runtime/ffi/types.zig:310          field,repr
fixed    StructMember                 runtime/ffi/types.zig:328          repr
fixed    Sysv64IntReturn              runtime/ffi/call.zig:207           host
fixed    Sysv64IntSseReturn           runtime/ffi/call.zig:209           host
fixed    Sysv64SseIntReturn           runtime/ffi/call.zig:211           host
fixed    Sysv64SseReturn              runtime/ffi/call.zig:213           host
fixed    TaggedPayload                api/repr.zig:271                   field,repr
fixed    ThreadInit                   runtime/ev.zig:335                 repr
fixed    Tree                         runtime/value/maps.zig:325         field,repr
fixed    TupleHead                    runtime/value/tuples.zig:81        repr
fixed    Type                         runtime/ffi/types.zig:333          field
fixed    TypeNode                     runtime/ffi/classify.zig:150       repr
fixed    Value                        api/repr.zig:284                   abi,field,repr
fixed    Vector                       runtime/value/vectors.zig:210      field
fixed    WSABUF                       host/cabi.zig:132                  host
fixed    pthread_attr_t               host/host.zig:89                   abi,host
fixed    pthread_mutex_t              host/host.zig:91                   host
fixed    utimbuf                      host/cabi.zig:138                  abi,host
