# The exported surface, classified.  Generated by `./tools/check/exports.janet`;
# do not edit.
#
# `class` is decided by two facts and no reading: whether a built native
# module requires the symbol, and whether the retired `janet.h` marked
# the declaration `JANET_API`.  `published` is what `module.zig` declares
# **plus what a module's undefined-symbol set actually names**, which is
# not the same list -- `raise.zig` reaches two `janet_zig_*` symbols
# through `cabi` and a module that defines a cfunction needs both;
# `compat` is the rest of `JANET_API`, retained while whether
# Claret publishes an embedding interface is undecided; `residue` was
# never public even in C, because `-fvisibility=hidden` and an internal
# header are what the C build said about it.
#
# A row whose `audience` reads `only:<tags>` is a **conditional export**:
# the default native build does not publish it and the configurations
# named do. That population is read from `tools/check/gated.txt` rather
# than measured here, so it is as fresh as the last `gates.janet` run.
#
# `header` is where the name was declared; `audience` is every place in
# this tree that reaches the symbol through the symbol table rather than
# by import.  A residue row with an empty audience has no caller of any
# kind and is what increment 2b retires.
#
# headers read from  17b3f8c4
#
# published       22
# compat           5
# residue          0
# linker           2
# total           29
#
# residue with no audience at all  0
#
# columns: class  name  header  audience

linker     __dso_handle                             -
linker     _mh_dylib_header                         -
published  janet_abstract                           janet.h          native,src
compat     janet_arity                              janet.h          src
published  janet_calloc                             janet.h          native,src
published  janet_cfuns_ext                          janet.h          native,src
published  janet_checkint                           janet.h          native,src
published  janet_checktype                          janet.h          native,src
published  janet_cstring                            janet.h          cabi,native,src
compat     janet_def                                janet.h          src
published  janet_fixarity                           janet.h          native,src
published  janet_free                               janet.h          native,src
published  janet_getabstract                        janet.h          native,src
published  janet_getinteger                         janet.h          native,src
published  janet_getmethod                          janet.h          native,src
published  janet_getnumber                          janet.h          native,src
compat     janet_getsize                            janet.h          src
compat     janet_nextmethod                         janet.h          src
published  janet_unwrap_integer                     janet.h          native,src
published  janet_unwrap_keyword                     janet.h          native,src
published  janet_unwrap_number                      janet.h          native,src
published  janet_wrap_abstract                      janet.h          native,src
compat     janet_wrap_nil                           janet.h          src
published  janet_wrap_number                        janet.h          native,src
published  janet_wrap_string                        janet.h          cabi,native,src
published  janet_zig_c_raise_record                 core/state.h     cabi,src
published  janet_zig_c_raise_take                   core/state.h     cabi,native,src
published  janet_zig_fatal                          -                cabi,src
published  janet_zig_signal_record                  core/state.h     cabi,native,src
